Book,Category,View on Jesus,View on Works,View on Cross Death Meaning,Physical Resurrection (Yes/No),Spiritual Resurrection (Yes/No),View on Resurrection Meaning,View on Second Coming,Uses Physical Jesus Core Teachings and Parables (not spiritual revelation),Time Period of Writing,Probable Public,Probable Writer,Core Textual Evidence,Additional Notes,Source
James,Works; Jamesian theology focusing on saving through works of love alone.,"Lord of Glory; teacher of the ""Royal Law"" whose life makes love accessible.",Primary; saving through works of love alone; faith without works is dead.,Ordering of Hells; the cross brings all hells into order to make love through works available.,No; does not require a physical resurrection for its theology.,Yes; Jesus lives spiritually as a source of grace and realness.,Wisdom; validation of the movement's legitimacy and ethical righteousness.,Imminent; the Judge is standing at the door.,Yes; heavily reflects the ethics of the Sermon on the Mount.,c. 45–62 AD,Jewish Christians in the Diaspora,James the Just,"James 2:14-26, 5:1-6",The core manifesto for Category 2 (Works); conflicts with Pauline faith-only notions.,1-10
Galatians,Faith-only; original Pauline theology containing gnostic notions and focus on saving through cross suffering.,Divine Savior; focus on the Christ of revelation rather than the historical teacher.,"Excluded; faith in Christ is the sole basis for justification, not works of the law.",Redemptive; focus on saving through the suffering and sacrifice on the cross.,No; emphasizes the higher spiritual body rather than physical remains.,Yes; Jesus lives spiritually as a source of grace and revelation.,Higher Body; transition to a spiritual body and freedom from the law.,Not in source; focus is on the current new creation.,No; teachings of the historical Jesus are largely absent or ignored.,c. 48–55 AD,Churches in Galatia,Paul,"Galatians 2:16, 3:1-13",Reflects the rupture between Paul and the Jerusalem community; contains gnostic notions.,"1-6, 9-11"
1 Thessalonians,Faith-only; original Pauline theology focusing on faith and the cross.,Coming Lord; divine figure who saves from the coming wrath.,Secondary; faith is the primary mechanism of salvation.,Atonement; Christ died for us so that we might live together with him.,No; focuses on the spiritual body and rising to meet the Lord in the air.,Yes; the Lord is spiritually alive and returning.,Transformation; provides hope and assurance for those who have died.,Imminent; the spiritual return of Christ to gather the faithful in the clouds.,No; lacks parables or Sermon on the Mount ethics.,c. 50–51 AD,Church in Thessalonica,Paul,"1 Thessalonians 1:10, 4:13-18",One of the earliest Pauline letters; focus on the pneumatic body.,"1-3, 6, 8, 11"
1 Corinthians,Faith-only; Pauline theology with significant gnostic influence.,The Spiritual Man; the firstfruits of the spiritual resurrection.,Minor; emphasizes spiritual gifts and faith over legalistic works.,Wisdom; the cross is the power of God contrasted with human wisdom.,No; explicitly argues for a 'spiritual body' ( $soma$   $pneumatikon$ ) and not flesh and blood.,Yes; Christ is the life-giving spirit.,Transformation; a change from the corruptible physical to the incorruptible spiritual.,"Expected; ""Maranatha"" – the Lord is coming.",No; relies on spiritual revelation rather than historical parables.,c. 53–54 AD,Church in Corinth,Paul,"1 Corinthians 1:18, 15:44-50",Strong evidence for spiritual resurrection only in chapter 15; distinguishes natural vs spiritual man.,"1-3, 6, 11, 12"
2 Corinthians,Faith-only; continues Pauline focus on salvation through suffering.,Image of God; the one who reconciles the world through the cross.,Excluded; the ministry of the spirit is contrasted with the letter of the law.,Reconciliation; God was in Christ reconciling the world through suffering.,"No; speaks of an eternal house in the heavens, not of the flesh.",Yes; life of Jesus made manifest in mortal bodies.,New Creation; the old has passed away spiritually.,Anticipated; standing before the judgment seat of Christ.,No; focus is on apostolic authority and spiritual experience.,c. 55–56 AD,Church in Corinth,Paul,"2 Corinthians 5:14-21, 12:1-4",Emphasizes the weakness of the physical body; highlights mystical experiences.,"1-3, 6, 11"
Romans,Faith-only; definitive Pauline statement on salvation by faith.,New Adam; the source of righteousness through faith.,Excluded; man is justified by faith apart from works of the law.,Propitiation; Jesus as the sacrifice that satisfies divine justice.,"No; resurrection is a spiritual walk in ""newness of life.""",Yes; Christ lives to intercede in the spirit.,Justification; raised for our justification and spiritual life.,Imminent; salvation is nearer now than when we first believed.,"No; theology is based on the logic of faith, not Jesus' parables.",c. 55–58 AD,Church in Rome,Paul,"Romans 3:21-28, 6:4-11","Distinguishes sharply between the flesh and the spirit; contains gnostic notions of the ""inner man.""","1-3, 6, 7, 12"
Philemon,Faith-only; personal Pauline application of equality in Christ.,Lord/Christ; mediator of grace.,Not in source; emphasis on love as a result of faith.,Implicit; basis of spiritual brotherhood through the cross.,No; focus is on the higher spiritual body.,Yes; implied through shared life in Christ.,Not in source,Not in source,No; focuses on apostolic appeal.,c. 54–62 AD,Philemon,Paul,Philemon 1-25,Transition from spiritual equality to social reality in the Pauline tradition.,"2, 3, 6, 8"
Philippians,Faith-only; late Pauline thought focusing on the fellowship of suffering.,Pre-existent Servant; the one who emptied himself ( $kenosis$ ).,Excluded; righteousness is from God through faith only.,Humiliation; obedience unto death on the cross as salvation.,"No; transformation into a ""glorious body"" that is not of the earth.",Yes; knowing the power of his resurrection spiritually.,Exaltation; receiving the name above all names.,"Imminent; ""The Lord is at hand.""",No; centers on the Christ-hymn of revelation.,c. 54–62 AD,Church in Philippi,Paul,"Philippians 2:5-11, 3:9-10",Written from prison; stresses citizenship in heaven rather than earth.,"1-3, 6, 11"
Mark,Works; Jamesian theology where the cross brings hells into order.,The Son of Man; a historical teacher whose life makes love accessible.,Essential; focuses on following Jesus' way of life and service.,Ordering of Hells; victory over spiritual forces and demonic chaos.,Yes; specifically focuses on the empty tomb to counter Pauline gnosticism.,Yes; Jesus is spiritually present with the disciples.,Vindication; the historical Jesus is vindicated and meets his followers.,Future; coming in glory within the current generation.,Yes; contains core parables and teachings on how to live.,c. 65–75 AD,Gentile Christians in Rome,Mark,"Mark 1:1, 16:6",First Jamesian gospel meant to record the physical life of Jesus.,"1-3, 5-7, 13"
Hebrews,Faith-only; Pauline theology focusing on high priesthood and sacrifice.,High Priest; spiritual savior after the order of Melchizedek.,Excluded; reliance on the once-for-all sacrifice and faith.,Blood Atonement; ultimate sacrifice and suffering.,No; focus on the spiritual body and the heavenly sanctuary.,Yes; realness in the spiritual realm.,Access; opening the way into the Holy of Holies.,"Anticipated; ""in a very little while, he who is coming will come.""",No; focuses on high priest typology and ignores parables.,c. 60–90 AD,Jewish Christians,Unknown (Pauline school),"Hebrews 9:6-9, 11:1",Strong focus on cross suffering and gnostic notions of higher realms.,"2, 3, 6"
